firstdate;marketcode;segmentcode;isincode;description;currencycode;minimumlot;status;issuedate;issueprice;redemptiondate;redemptionprice;
06/03/2023;MOT;EUROMOT;FR001400FYQ4;Oat Tf 2,5% St26 Eur;EUR;1000;Senior;24/09/2022;;24/09/2026;;
06/03/2023;MOT;EUROMOT;ES0000012L60;Obligaciones Tf 3,9% Lg39 Eur;EUR;1000;Senior;28/02/2023;;30/07/2039;;
06/03/2023;MOT;EUROMOT;BE0000358672;Belgium Tf 3,3% Gn54 Eur;EUR;1000;Senior;22/02/2023;;22/06/2054;;
02/03/2023;EUROTLX;EUROTLX;XS2579191532;Unicredit Tf 4,1% Fb27 Eur;EUR;150000;Senior;;;23/02/2027;;
02/03/2023;EUROTLX;EUROTLX;XS2110114324;Citigroup Sc Fb28 Call Eur;EUR;1000;Senior;;;23/02/2028;;
01/03/2023;EUROTLX;EUROTLX;XS2590759986;Finecobank Mc Fb29 Call Eur;EUR;100000;Senior;;;23/02/2029;;
28/02/2023;EUROTLX;EUROTLX;XS0460032336;Deutsche Bk Oc Ind Link Fb28 Eur;EUR;1000;Senior;;;28/02/2028;;
28/02/2023;MOT;EUROMOT;US298785JU14;Eib Tf 3,875% Mz28 Usd;USD;1000;Senior;11/01/2023;;15/03/2028;;
28/02/2023;MOT;EUROMOT;AU3CB0296754;Eib Green Tf 4,2% Ag28 Aud;AUD;1000;Senior;21/02/2023;;21/08/2028;;
28/02/2023;MOT;EUROMOT;AU3CB0295509;World Bank Sustainable Tf 4,4% Ge28 Aud;AUD;1000;Senior;13/01/2023;;13/01/2028;;
28/02/2023;MOT;EUROMOT;AU3CB0285682;Eib Sustainable Tf 1,8% Ge27 Aud;AUD;1000;Senior;19/01/2022;;19/01/2027;;
24/02/2023;EUROTLX;EUROTLX;XS2589361240;Intsanpaolo Mc Fb34 Sub Tier2 Call Eur;EUR;;TIER II;;;20/02/2034;;
24/02/2023;EUROTLX;EUROTLX;XS2589260996;Efi Sdg Linked Tf 4,5% Fb43 Call Eur;EUR;;Senior;;;20/02/2043;;
24/02/2023;EUROTLX;EUROTLX;XS2589260723;Efi Sdg Linked Tf 4% Fb31 Call Eur;EUR;;Senior;;;20/02/2031;;
23/02/2023;MOT;EUROMOT;XS2558195694;Sg Issuer Mc Fb33 Eur;EUR;1000;Senior;22/02/2023;;22/02/2033;;
22/02/2023;EUROTLX;EUROTLX;XS2588885025;Unicredit Mc Fb29 Call Eur;EUR;150000;Senior;;;16/02/2029;;
21/02/2023;MOT;EUROMOT;FR001400FTH3;Oat Tf 3% Mg54 Eur;EUR;1000;Senior;25/05/2022;;25/05/2054;;
21/02/2023;MOT;BTP;IT0005534141;Btp Tf 4,5% Ot53 Eur;EUR;1000;Senior;23/02/2023;;01/10/2053;;
20/02/2023;EUROTLX;EUROTLX;XS2526828996;E.On Tf 2,875% Ag28 Call Eur;EUR;1000;Senior;;;26/08/2028;;
20/02/2023;EUROTLX;EUROTLX;XS2103014291;E.On Green Bond Tf 0,375% St27 Call Eur;EUR;1000;Senior;;;29/09/2027;;
20/02/2023;MOT;EUROMOT;XS2586944147;Poland Tf 4,25% Fb43 Eur;EUR;1000;Senior;14/02/2023;;14/02/2043;;
20/02/2023;MOT;EUROMOT;XS2586944659;Poland Tf 3,875% Fb33 Eur;EUR;1000;Senior;14/02/2023;;14/02/2033;;
16/02/2023;EUROTLX;EUROTLX;XS2582098187;Mediobanca Mc Fb28 Eur;EUR;1000;Senior;;;15/02/2028;;
